dictionary,{{en-verb|dictionar|ies}}
bean,{{en-verb|beans|beaning|beaned}}
beak,{{en-verb}}
demonstrate,{{en-verb|demonstrat}}
wench,{{en-verb|es}}
asymptote,{{en-verb|asymptotes|asymptoting|asymptoted}}
trist,{{en-verb}}
serene,{{en-verb|seren}}
chimp,{{en-verb}}
daff,{{en-verb}}
daff,{{en-verb}}
fancy,{{en-verb|fanc|ies}}
discombobulate,{{en-verb|discombobulat}}
spouse,{{en-verb|spouses|spousing|spoused|spoused}}
piecemeal,{{en-verb}}
exploit,{{en-verb}}
utilize,{{en-verb|utiliz}}
inflate,{{en-verb|inflat}}
deflate,{{en-verb|deflat}}
barge,{{en-verb|barg}}
disclude,{{en-verb|discludes|discluding|discluded}}
burke,{{en-verb|burk}}
dot,{{en-verb|dott}}
crane,{{en-verb|cran}}
finch,{{en-verb|es}}
nappy,{{en-verb|nappies|nappying|nappied}}
diaper,{{en-verb|diapers|diapering|diapered|diapered}}
yap,{{en-verb|yapp}}
bulldog,{{en-verb|bulldogg}}
pease,{{en-verb|peas}}
rare,{{en-verb|rar}}
crayfish,{{en-verb|crayfishes|crayfishing|crayfished}}
lobster,{{en-verb}}
crab,{{en-verb|crabs|crabbing|crabbed}}
crab,{{en-verb|crabb}}
cancerate,{{en-verb|cancerat}}
redeem,{{en-verb}}
scant,{{en-verb}}
founder,{{en-verb}}
perturbate,{{en-verb|perturbates|perturbating|perturbated}}
database,{{en-verb|databas}}
deaf,{{en-verb}}
dang,{{en-verb}}
dang,{{en-verb}}
chase,{{en-verb|chas}}
chase,{{en-verb|chas}}
whack,{{en-verb}}
clone,{{en-verb|clon}}
scuttle,{{en-verb|scuttles|scuttling|scuttled|scuttled}}
scuttle,{{en-verb|scuttles|scuttling|scuttled|scuttled}}
sack,{{en-verb}}
sack,{{en-verb}}
wallop,{{en-verb|wallopp}}
wallop,{{en-verb}}
fang,{{en-verb}}
fang,{{en-verb}}
fang,{{en-verb}}
mucker,{{en-verb}}
muck in,{{en-verb|mucks in|mucking in|mucked in}}
conjecture,{{en-verb|conjectur}}
slut,{{en-verb|sluts|slutting|slutted}}
pod,{{en-verb|podd}}
herd,{{en-verb}}
herd,{{en-verb}}
stockpile,{{en-verb|stockpil}}
proselytize,{{en-verb|proselytiz}}
voyage,{{en-verb|voyag}}
pork,{{en-verb}}
dock,{{en-verb}}
dock,{{en-verb}}
dock,{{en-verb}}
stake,{{en-verb|stak}}
take up,{{en-verb|takes up|taking up|took up|taken up}}
stitch,{{en-verb|stitches|stitching|stitched}}
proof,{{en-verb}}
waterproof,{{en-verb}}
liquor,{{en-verb}}
chipmunk,{{en-verb}}
prairie dog,{{en-verb|prairie dogs|prairie dogging|prairie dogged}}
sysop,{{en-verb|sysopp}}
bargain,{{en-verb|bargains|bargaining|bargained}}
grave,{{en-verb|graves|graving|graved|past2=grove|graved|past_ptc2=graven}}
rematch,{{en-verb|rematches|rematching|rematched}}
lank,{{en-verb}}
oblique,{{en-verb|obliques|obliquing|obliqued}}
kite,{{en-verb|kit}}
keel,{{en-verb}}
keel,{{en-verb}}
favor,{{en-verb}}
favour,{{en-verb}}
cheat,{{en-verb}}
lace,{{en-verb|lac}}
sate,{{en-verb|sat}}
disco,{{en-verb}}
eviscerate,{{en-verb|eviscerat}}
messenger,{{en-verb}}
chorus,{{en-verb|choruses|chorusing|pres_ptc2=chorussing|chorused|past2=chorussed}}
scare,{{en-verb|scares|scaring|scared}}
cumber,{{en-verb}}
skink,{{en-verb}}
protocol,{{en-verb|protocols|protocoling|pres_ptc2=protocolling|protocoled|past2=protocolled}}
section,{{en-verb}}
foreskin,{{en-verb|foreskin|n|ed}}
yoink,{{en-verb}}
yoink,{{en-verb}}
twist,{{en-verb}}
shatter,{{en-verb}}
toy,{{en-verb}}
foil,{{en-verb}}
foil,{{en-verb}}
foil,{{en-verb}}
forward,{{en-verb}}
cooperate,{{en-verb|cooperat}}
fowl,{{en-verb}}
dispatch,{{en-verb|dispatches|dispatching|dispatched}}
frame,{{en-verb|fram}}
frequent,{{en-verb}}
glove,{{en-verb|glov}}
commercialize,{{en-verb|commercializ}}
blockade,{{en-verb|blockades|blockading|blockaded}}
grip,{{en-verb|gripp}}
violent,{{en-verb}}
verse,{{en-verb|vers}}
verse,{{en-verb|vers}}
verse,{{en-verb|vers}}
toy with,{{en-verb|toys with|toying with|toyed with}}
IM,{{en-verb|IMs|IMing|IMed}}
seat,{{en-verb}}
smeg,{{en-verb|smegg}}
hope,{{en-verb|hop}}
waive,{{en-verb|waiv}}
waive,{{en-verb|waiv}}
grapevine,{{en-verb|grapevin}}
speck,{{en-verb}}
69,{{en-verb}}
reclude,{{en-verb|recludes|recluding|recluded}}
immure,{{en-verb|immures|immuring|immured|immured}}
chunder,{{en-verb}}
chunder,{{en-verb}}
sponge,{{en-verb|spong}}
foam,{{en-verb}}
froth,{{en-verb}}
swish,{{en-verb|es}}
garbage,{{en-verb|garbag}}
rubbish,{{en-verb|es}}
pine,{{en-verb|pin}}
snorkel,{{en-verb|snorkels|snorkelling|pres_ptc_qual=UK|pres_ptc2=snorkeling|pres_ptc2_qual=US|snorkelled|past_qual=UK|past2=snorkeled|past2_qual=US}}
doll,{{en-verb}}
porpoise,{{en-verb|porpois}}
usurp,{{en-verb}}
feeble,{{en-verb|feebl}}
yell,{{en-verb}}
load,{{en-verb|loads|loading|loaded|loaded|past_ptc2=loaden|past_ptc2_qual=archaic}}
pouch,{{en-verb|pouches|pouching|pouched}}
harbor,{{en-verb}}
scrap,{{en-verb|scrapp}}
scrap,{{en-verb|scrapp}}
tot,{{en-verb|tots|totting|totted}}
rank,{{en-verb}}
pocket,{{en-verb}}
downstroy,{{en-verb}}
tame,{{en-verb|tames|taming|tamed}}
tame,{{en-verb|tam}}
shade,{{en-verb|shad}}
shame,{{en-verb|sham}}
fever,{{en-verb}}
contact,{{en-verb}}
wrist,{{en-verb}}
fudge,{{en-verb|fudg}}
headbutt,{{en-verb}}
surprise,{{en-verb|surpris}}
support,{{en-verb}}
store,{{en-verb|stor}}
seal,{{en-verb}}
seal,{{en-verb}}
seal,{{en-verb}}
exploiter,{{en-verb}}
clambake,{{en-verb|clambak}}
tag,{{en-verb|tagg}}
dose,{{en-verb|dos}}
vum,{{en-verb|vumm}}
obey,{{en-verb}}
chillax,{{en-verb|chillaxes|chillaxing|chillaxed}}
finagle,{{en-verb|finagl}}
heal,{{en-verb|heals|healing|hole|past2=healed|holen|past_ptc2=healed}}
heal,{{en-verb|heals|healing|healed}}
cure,{{en-verb|cur}}
clapboard,{{en-verb}}
bogan,{{en-verb|bogann}}
harsh,{{en-verb|es}}
unchain,{{en-verb}}
transpire,{{en-verb|transpires|transpiring|transpired}}
sign,{{en-verb}}
silk,{{en-verb}}
slope,{{en-verb|slop}}
vend,{{en-verb}}
adjust,{{en-verb}}
infuriate,{{en-verb|infuriat}}
slander,{{en-verb}}
gypsy,{{en-verb|gypsies|gypsying|gypsied}}
spur,{{en-verb|spurr}}
delude,{{en-verb|delud}}
delay,{{en-verb}}
delay,{{en-verb}}
flop,{{en-verb|flopp}}
bay,{{en-verb}}
tumble,{{en-verb|tumbl}}
rebate,{{en-verb|rebat}}
slot,{{en-verb|slots|slotting|slotted}}
slot,{{en-verb|slots|slotting|slotted}}
fizzle,{{en-verb|fizzl}}
lipstick,{{en-verb}}
hip,{{en-verb|hipp}}
hip,{{en-verb|hipp}}
inhale,{{en-verb|inhal}}
breathe in,{{en-verb|breathes in|breathing in|breathed in}}
exhale,{{en-verb|exhal}}
diaphragm,{{en-verb}}
deprecate,{{en-verb|deprecat}}
flout,{{en-verb|flouts|flouting|flouted}}
scar,{{en-verb|scarr}}
loaf,{{en-verb}}
solve,{{en-verb|solv}}
resolve,{{en-verb|resolv}}
mitigate,{{en-verb|mitigat}}
fresco,{{en-verb|frescoes|frescoing|frescoed}}
emanate,{{en-verb|emanat}}
inculcate,{{en-verb|inculcat}}
ameliorate,{{en-verb|ameliorat}}
eschew,{{en-verb}}
rack,{{en-verb}}
rack,{{en-verb}}
rack,{{en-verb}}
rack,{{en-verb}}
rack,{{en-verb}}
tabor,{{en-verb}}
blast,{{en-verb}}
bin,{{en-verb|binn}}
gist,{{en-verb}}
have eyes bigger than one's belly,{{en-verb|has eyes bigger than one's belly|having eyes bigger than one's belly|had eyes bigger than one's belly}}
bruise,{{en-verb|bruis}}
nickname,{{en-verb|nicknam}}
ninja,{{en-verb|ninjas|ninjaing|ninjaed|past2=ninja'd}}
plot,{{en-verb|plott}}
fodder,{{en-verb}}
scarf,{{en-verb}}
scarf,{{en-verb}}
scarf,{{en-verb}}
smash,{{en-verb|es}}
soap,{{en-verb}}
ultimate,{{en-verb|ultimat}}
blackberry,{{en-verb|blackberries|blackberrying|blackberried}}
fig,{{en-verb|figg}}
fig,{{en-verb|figg}}
jar,{{en-verb|jars|jarring|jarred|jarred}}
purse,{{en-verb|purs}}
skydive,{{en-verb|skydives|skydiving|skydived|past2=skydove}}
parcel,{{en-verb|parcels|parceling|pres_ptc2=parcelling|parceled|past2=parcelled|parceled|past_ptc2=parcelled}}
bud,{{en-verb|budd}}
stamp,{{en-verb}}
station,{{en-verb}}
supreme,{{en-verb|suprem}}
pote,{{en-verb|pot}}
mascara,{{en-verb}}
bogart,{{en-verb}}
thicken,{{en-verb}}
darken,{{en-verb}}
toke,{{en-verb|tok}}
toke,{{en-verb|tok}}
boil,{{en-verb}}
handbag,{{en-verb|handbagg}}
pus,{{en-verb|puss|es}}
tush,{{en-verb|es}}
pule,{{en-verb|pul}}
plow,{{en-verb}}
plough,{{en-verb}}
sticky,{{en-verb|stickies|stickying|stickied}}
meteor,{{en-verb}}
define,{{en-verb|defin}}
narrate,{{en-verb|narrat}}
underground,{{en-verb}}
fiend,{{en-verb}}
garb,{{en-verb}}
harbinger,{{en-verb}}
bushel,{{en-verb|bushels|busheling|pres_ptc2=bushelling|busheled|past2=bushelled}}
tun,{{en-verb|tuns|tunning|tunned}}
butt,{{en-verb}}
butt,{{en-verb}}
barrel,{{en-verb|barrels|barrelling|pres_ptc2=barreling|barrelled|past2=barreled}}
windle,{{en-verb|windl}}
measure,{{en-verb|measur}}
fother,{{en-verb}}
dicker,{{en-verb|dickers|dickering|dickered|dickered}}
hurdle,{{en-verb|hurdl}}
grope,{{en-verb|gropes|groping|groped|groped}}
strake,{{en-verb|strak}}
clout,{{en-verb}}
lath,{{en-verb}}
busk,{{en-verb}}
busk,{{en-verb}}
buckram,{{en-verb|buckrams|buckraming|buckramed|past2=buckrammed}}
roll,{{en-verb}}
garnish,{{en-verb|garnishes|garnishing|garnished|garnished}}
scab,{{en-verb|scabs|scabbing|scabbed|scabbed}}
pepper spray,{{en-verb}}
kneecap,{{en-verb|kneecapp}}
acidulate,{{en-verb|acidulat}}
acknow,{{en-verb|acknows|acknowing|acknew|acknown}}
demob,{{en-verb|demobb}}
deed,{{en-verb}}
ease,{{en-verb|eas}}
charge,{{en-verb|charg}}
kvetch,{{en-verb|kvetches|kvetching|kvetched}}
braize,{{en-verb|braiz}}
coppice,{{en-verb|coppic}}
bloom,{{en-verb}}
gad,{{en-verb|gadd}}
screenshot,{{en-verb|screenshots|screenshotting|screenshotted}}
set on fire,{{en-verb|sets on fire|setting on fire|set on fire}}
shite,{{en-verb|shites|shiting|shited|past2=shat}}
eff,{{en-verb|effs|effing|effed}}
clusterfuck,{{en-verb}}
material,{{en-verb|materiall}}
porter,{{en-verb}}
chimney,{{en-verb}}
dimple,{{en-verb|dimpl}}
prison,{{en-verb}}
strand,{{en-verb}}
strand,{{en-verb}}
record,{{en-verb}}
mordant,{{en-verb}}
jail,{{en-verb}}
gaol,{{en-verb}}
stripe,{{en-verb|strip}}
stretch,{{en-verb|stretches|stretching|stretched|past2=straught|past2_qual=obsolete|past3=straight|past3_qual=obsolete}}
prepend,{{en-verb}}
prepend,{{en-verb}}
climate,{{en-verb|climat}}
pilgrimage,{{en-verb|pilgrimag}}
parget,{{en-verb|pargets|pargeting|pres_ptc2=pargetting|pargeted|past2=pargetted}}
eke,{{en-verb|ek}}
cruck,{{en-verb}}
thack,{{en-verb}}
thack,{{en-verb}}
yelm,{{en-verb}}
style,{{en-verb|styl}}
haver,{{en-verb}}
toll,{{en-verb}}
toll,{{en-verb}}
toll,{{en-verb}}
toll,{{en-verb}}
vest,{{en-verb}}
vet,{{en-verb|vett}}
waterfall,{{en-verb}}
velocipede,{{en-verb|velociped}}
bounce,{{en-verb|bounc}}
castrate,{{en-verb|castrat}}
spay,{{en-verb|spays|spaying|spayed|spayed|past_ptc2=spade|past_ptc2_qual=obsolete}}
withhold,{{en-verb|withholds|withholding|withheld|withheld|past_ptc2=withholden|past_ptc2_qual=rare}}
wrap,{{en-verb|wraps|wrapping|wrapped|past2=wrapt|past2_qual=archaic}}
rap,{{en-verb|rapp}}
knuckle,{{en-verb|knuckl}}
joint,{{en-verb}}
eek,{{en-verb}}
bever,{{en-verb}}
bever,{{en-verb}}
impulse,{{en-verb|impuls}}
structure,{{en-verb|structur}}
throat,{{en-verb}}
rickshaw,{{en-verb}}
kamikaze,{{en-verb|kamikazes|kamikazeing|kamikazed}}
wig,{{en-verb|wigg}}
blag,{{en-verb|blagg}}
ribbit,{{en-verb|ribbits|ribbiting|pres_ptc2=ribbitting|ribbited|past2=ribbitted}}
oink,{{en-verb}}
dewikify,{{en-verb|dewikifies|dewikifying|dewikified}}
precipitate,{{en-verb|precipitat}}
property,{{en-verb|properties|propertying|propertied}}
tight,{{en-verb}}
elute,{{en-verb|elut}}
rumba,{{en-verb}}
squitter,{{en-verb}}
shield,{{en-verb}}
target,{{en-verb|targets|targeting|pres_ptc2=targetting|targeted|past2=targetted}}
buckler,{{en-verb}}
orphan,{{en-verb}}
cannonball,{{en-verb}}
jack-knife,{{en-verb|jack-knif}}
dogleg,{{en-verb|doglegs|doglegging|doglegged}}
devastate,{{en-verb|devastat}}
bard,{{en-verb}}
barb,{{en-verb|barbs|barbing|barbed|barbed}}
divide,{{en-verb|divid}}
brazen,{{en-verb}}
layer,{{en-verb}}
armour,{{en-verb}}
jackknife,{{en-verb|jackknifes|jackknifing|jackknifed|jackknifed}}
level,{{en-verb|levels|leveling|pres_ptc2=levelling|leveled|past2=levelled}}
mist,{{en-verb}}
transfer,{{en-verb|transferr}}
res,{{en-verb|es}}
zest,{{en-verb|zests|zesting|zested|zested}}
sheaf,{{en-verb}}
lush,{{en-verb|es}}
rich,{{en-verb|riches|riching|riched}}
assent,{{en-verb}}
mallet,{{en-verb}}
truncheon,{{en-verb}}
need,{{en-verb}}
prose,{{en-verb|proses|prosing|prosed}}
tray,{{en-verb}}
tray,{{en-verb}}
tray,{{en-verb}}
give head,{{en-verb|gives head|giving head|gave head|given head}}
calver,{{en-verb}}
palaver,{{en-verb}}
flavor,{{en-verb}}
flavour,{{en-verb}}
kettle,{{en-verb|kettl}}
limit,{{en-verb}}
mix,{{en-verb|mixes|mixing|mixed|past2=mixt}}
pump,{{en-verb}}
reward,{{en-verb}}
suggestion,{{en-verb}}
suggest,{{en-verb}}
dogsbody,{{en-verb|dogsbod|ies}}
trick,{{en-verb}}
manse,{{en-verb|mans}}
lute,{{en-verb|lut}}
lute,{{en-verb|lut}}
loot,{{en-verb}}
twat,{{en-verb|twatt}}
ingot,{{en-verb}}
fetter,{{en-verb}}
unite,{{en-verb|unites|uniting|united}}
reunite,{{en-verb|reunit}}
consider,{{en-verb}}
considerate,{{en-verb|considerat}}
reconsider,{{en-verb}}
mirage,{{en-verb|mirag}}
stress,{{en-verb|stresses|stressing|stressed}}
click,{{en-verb}}
click,{{en-verb}}
click,{{en-verb}}
spark,{{en-verb}}
spark,{{en-verb}}
preface,{{en-verb|prefac}}
tarp,{{en-verb}}
worse,{{en-verb|wors}}
basil,{{en-verb|basils|basilling|basilled}}
statue,{{en-verb|statu}}
model,{{en-verb|models|modelling|pres_ptc_qual=UK|pres_ptc2=modeling|pres_ptc2_qual=US|modelled|past_qual=UK|past2=modeled|past2_qual=US}}
yabby,{{en-verb|yabbies|yabbying|yabbied}}
guy,{{en-verb}}
guy,{{en-verb}}
omit,{{en-verb|omitt}}
imbue,{{en-verb|imbu}}
repute,{{en-verb|reput}}
funk,{{en-verb}}
funk,{{en-verb}}
glow,{{en-verb}}
confine,{{en-verb|confin}}
bayonet,{{en-verb|bayonets|bayoneting|pres_ptc2=bayonetting|bayoneted|past2=bayonetted|bayoneted|past_ptc2=bayonetted}}
lance,{{en-verb|lanc}}
ebb and flow,{{en-verb|head=[[ebb]] and [[flow]]|ebbs and flows|ebbing and flowing|ebbed and flowed}}
sleaze,{{en-verb|sleaz}}
inchoate,{{en-verb|inchoat}}
blimp,{{en-verb}}
fiddle,{{en-verb|fiddl}}
resort,{{en-verb}}
resort,{{en-verb}}
tantamount,{{en-verb}}
sharpen,{{en-verb}}
deduct,{{en-verb}}
phwoar,{{en-verb}}
catapult,{{en-verb}}
clay,{{en-verb}}
de-dupe,{{en-verb|de-dup}}
dwarf,{{en-verb}}
behead,{{en-verb}}
yen,{{en-verb|yenn}}
necropsy,{{en-verb|necrops|ies}}
corset,{{en-verb|corsets|corseting|pres_ptc2=corsetting|corseted|past2=corsetted}}
flounce,{{en-verb|flounc}}
DIY,{{en-verb|DIYs|DIYing|pres_ptc2=DIY-ing|DIYed}}
contort,{{en-verb}}
hoodwink,{{en-verb}}
warez,{{en-verb|es}}
astonish,{{en-verb|es}}
postcard,{{en-verb}}
pastor,{{en-verb}}
recede,{{en-verb|reced}}
meditate,{{en-verb|meditates|meditating|meditated|meditated}}
prank,{{en-verb|pranks|pranking|pranked|pranked|past_ptc2=prankt|past_ptc2_qual=archaic}}
infix,{{en-verb|es}}
lag,{{en-verb|lagg}}
lesion,{{en-verb}}
balm,{{en-verb}}
excuse,{{en-verb|excus}}
hormone,{{en-verb|hormon}}
spy,{{en-verb|spies|spying|spied}}
relax,{{en-verb|es}}
claim,{{en-verb}}
repeat,{{en-verb}}
observe,{{en-verb|observ}}
lecture,{{en-verb|lectur}}
wordsmith,{{en-verb}}
divorce,{{en-verb|divorc}}
hire,{{en-verb|hir}}
polite,{{en-verb|polit}}
lock in,{{en-verb|locks in|locking in|locked in}}
lock out,{{en-verb|locks out|locking out|locked out}}
befriend,{{en-verb}}
defend,{{en-verb}}
machicolate,{{en-verb|machicolat}}
perk,{{en-verb}}
perk,{{en-verb}}
perk,{{en-verb}}
demand,{{en-verb}}
guarantee,{{en-verb|d}}
prime,{{en-verb|prim}}
contract,{{en-verb}}
cultivate,{{en-verb|cultivat}}
export,{{en-verb}}
conflict,{{en-verb}}
wish,{{en-verb|es}}
disabuse,{{en-verb|disabus}}
return,{{en-verb}}
speedball,{{en-verb}}
bong,{{en-verb}}
firehose,{{en-verb|firehoses|firehosing|firehosed}}
blab,{{en-verb|blabs|blabbing|blabbed}}
blabber,{{en-verb}}
wreck,{{en-verb}}
havoc,{{en-verb|havocs|havocking|havocked}}
firebolt,{{en-verb}}
enact,{{en-verb}}
practice,{{en-verb|practic}}
dance,{{en-verb|danc}}
receive,{{en-verb|receiv}}
wild,{{en-verb}}
master,{{en-verb}}
possession,{{en-verb}}
sight,{{en-verb}}
command,{{en-verb}}
arrange,{{en-verb|arrang}}
firm,{{en-verb}}
difficult,{{en-verb}}
lateral,{{en-verb|laterals|lateralling|pres_ptc2=lateraling|lateralled|past2=lateraled}}
rage,{{en-verb|rag}}
reverse,{{en-verb|revers}}
disk,{{en-verb}}
easy,{{en-verb|easies|easying|easied}}
team,{{en-verb}}
flounder,{{en-verb}}
hobnob,{{en-verb|hobnobb}}
pooh-pooh,{{en-verb}}
darn,{{en-verb}}
darn,{{en-verb}}
militate,{{en-verb|militat}}
cipher,{{en-verb}}
confuzzle,{{en-verb|confuzzl}}
desalt,{{en-verb}}
harbour,{{en-verb}}
fill,{{en-verb}}
exist,{{en-verb}}
surrogate,{{en-verb|surrogat}}
subrogate,{{en-verb|subrogat}}
lavish,{{en-verb|es}}
lase,{{en-verb|las}}
sport,{{en-verb}}
triple,{{en-verb|tripl}}
panel,{{en-verb|panels|panelling|pres_ptc2=paneling|panelled|past2=paneled}}
titrate,{{en-verb|titrat}}
titre,{{en-verb|titr}}
shag,{{en-verb|shagg}}
shag,{{en-verb|shagg}}
plug,{{en-verb|plugg}}
wheelie,{{en-verb|wheelies|wheelying|pres_ptc2=wheelieing|wheelied}}
dissuade,{{en-verb|dissuad}}
persuade,{{en-verb|persuad}}
dislike,{{en-verb|dislik}}
detest,{{en-verb}}
loathe,{{en-verb|loathes|loathing|loathed}}
despise,{{en-verb|despis}}
scorn,{{en-verb}}
cyber,{{en-verb}}
estimate,{{en-verb|estimates|estimating|estimated|estimated}}
promulgate,{{en-verb|promulgat}}
blitz,{{en-verb|blitzes|blitzing|blitzed}}
shoplift,{{en-verb}}
bonsai,{{en-verb|bonsai}}
shop steal,{{en-verb|shop steals|shop stealing|-}}
lynch,{{en-verb|es}}
geek out,{{en-verb|geeks out|geeking out|geeked out}}
excrete,{{en-verb|excret}}
triage,{{en-verb|triag}}
anagram,{{en-verb|anagramm}}
passenger,{{en-verb}}
explain,{{en-verb}}
gob,{{en-verb|gobs|gobbing|gobbed}}
adumbrate,{{en-verb|adumbrates|adumbrating|adumbrated}}
conversate,{{en-verb|conversat}}
counterpoise,{{en-verb|counterpois}}
offshore,{{en-verb|offshor}}
jibber,{{en-verb}}
wizard,{{en-verb}}
balloon,{{en-verb}}
gorge,{{en-verb|gorg}}
disgorge,{{en-verb|disgorg}}
engorge,{{en-verb|engorges|engorging|engorged}}
comp,{{en-verb}}
tomahawk,{{en-verb}}
dirk,{{en-verb}}
kris,{{en-verb|krises|krising|krised}}
javelin,{{en-verb}}
cocktail,{{en-verb}}
fute,{{en-verb|fut}}
sax,{{en-verb|es}}
tessellate,{{en-verb|tessellat}}
bequest,{{en-verb}}
beggar,{{en-verb}}
blunt,{{en-verb}}
bristle,{{en-verb|bristl}}
brow,{{en-verb}}
brag,{{en-verb|brags|bragging|bragged|bragged}}
blind,{{en-verb}}
lazy,{{en-verb|laz|i|ed}}
climb,{{en-verb|climbs|climbing|past2=clomb|past2_qual=archaic|climbed|past_ptc2_qual=archaic|past_ptc2=clumb|climbed}}
cloak,{{en-verb|cloaks|cloaking|cloaked|cloaked}}
comment,{{en-verb}}
concord,{{en-verb}}
roger,{{en-verb}}
lodge,{{en-verb|lodg}}
critic,{{en-verb|critics|criticking|criticked}}
crave,{{en-verb|crav}}
conquest,{{en-verb}}
confess,{{en-verb|es}}
conquer,{{en-verb}}
conceit,{{en-verb}}
chide,{{en-verb|chides|chiding|chid|past2=chided|past3=chode|chid|past_ptc2=chided|past_ptc3=chidden}}
nicker,{{en-verb}}
cheek,{{en-verb}}
carve,{{en-verb|carves|carving|carved|past2=corve|past2_qual=archaic|carved|past_ptc2=carven|past_ptc3=corven|past_ptc3_qual=archaic}}
quid,{{en-verb|quidd}}
canopy,{{en-verb|canop|ies}}
canker,{{en-verb}}
chronicle,{{en-verb|chronicles|chronicling|chronicled}}
adulterate,{{en-verb|adulterat}}
descry,{{en-verb|descr|ies}}
assure,{{en-verb|assur}}
commence,{{en-verb|commenc}}
compile,{{en-verb|compil}}
confound,{{en-verb}}
complain,{{en-verb}}
compound,{{en-verb}}
convert,{{en-verb}}
contrary,{{en-verb|contrar|ies}}
contend,{{en-verb}}
boast,{{en-verb}}
boast,{{en-verb}}
extol,{{en-verb|extoll}}
curl,{{en-verb}}
blush,{{en-verb|es}}
redden,{{en-verb}}
chopper,{{en-verb}}
sally,{{en-verb|sall|ies}}
complicate,{{en-verb|complicat}}
reimburse,{{en-verb|reimburs}}
rebore,{{en-verb|rebor}}
melee,{{en-verb|d}}
suss,{{en-verb|susses|sussing|sussed}}
suss,{{en-verb|susses|sussing|sussed}}
suss out,{{en-verb|susses out|sussing out|sussed out}}
aggro,{{en-verb|es}}
salvo,{{en-verb}}
fulfill,{{en-verb}}
satisfy,{{en-verb|satisf|ies}}
fulfil,{{en-verb|fulfill}}
damask,{{en-verb}}
hongi,{{en-verb}}
gee,{{en-verb|gees|geeing|geed}}
haw,{{en-verb}}
haw,{{en-verb}}
cull,{{en-verb}}
decay,{{en-verb}}
quahaug,{{en-verb}}
orgasm,{{en-verb}}
ejaculate,{{en-verb|ejaculat}}
condescend,{{en-verb}}
delight,{{en-verb}}
wry,{{en-verb|wries|wrying|wried}}
wry,{{en-verb|wries|wrying|wried}}
cinch,{{en-verb|cinches|cinching|cinched}}
cinch,{{en-verb|cinches|cinching|cinched}}
hazard,{{en-verb}}
peril,{{en-verb}}
cavil,{{en-verb|cavils|cavilling|pres_ptc_qual=UK|pres_ptc2=caviling|pres_ptc2_qual=US|cavilled|past_qual=UK|past2=caviled|past2_qual=US}}
spud,{{en-verb|spudd}}
shower,{{en-verb}}
deflower,{{en-verb}}
empower,{{en-verb}}
disempower,{{en-verb}}
boo,{{en-verb}}
trouser,{{en-verb}}
intersperse,{{en-verb|interspers}}
wright,{{en-verb}}
ruddy,{{en-verb|ruddies|ruddying|ruddied}}
shuffle off this mortal coil,{{en-verb|shuffles off this mortal coil|shuffling off this mortal coil|shuffled off this mortal coil}}
starve,{{en-verb|starves|starving|starved|past2=starf|past2_qual=obsolete|past3=storve|past3_qual=obsolete|starved|past_ptc2=storven|past_ptc2_qual=obsolete}}
stet,{{en-verb|stett}}
lave,{{en-verb|lav}}
lather,{{en-verb}}
starfish,{{en-verb|starfishes|starfishing|starfished}}
blather,{{en-verb}}
compensate,{{en-verb|compensat}}
decry,{{en-verb|decr|ies}}
rant,{{en-verb}}
frail,{{en-verb}}
invert,{{en-verb}}
ref,{{en-verb|reff}}
unmount,{{en-verb}}
umount,{{en-verb}}
attach,{{en-verb|attaches|attaching|attached}}
passionate,{{en-verb|passionat}}
addend,{{en-verb}}
admix,{{en-verb|es}}
addle,{{en-verb|addl}}
addle,{{en-verb|addl}}
adsorb,{{en-verb}}
affine,{{en-verb|affines|affining|affined}}
alum,{{en-verb}}
clique,{{en-verb|cliqu}}
amp,{{en-verb}}
angst,{{en-verb}}
amble,{{en-verb|ambl}}
anneal,{{en-verb}}
assay,{{en-verb|assays|assaying|assayed|assayed}}
atone,{{en-verb|aton}}
audit,{{en-verb}}
auger,{{en-verb}}
augur,{{en-verb|augurs|auguring|augured}}
balk,{{en-verb}}
balk,{{en-verb}}
bandy,{{en-verb|bandies|bandying|bandied|bandied}}
baste,{{en-verb|bast}}
baste,{{en-verb|bast}}
baste,{{en-verb|bast}}
bate,{{en-verb|bat}}
bate,{{en-verb|bat}}
bate,{{en-verb|bat}}
bate,{{en-verb|bat}}
baton,{{en-verb}}
bawd,{{en-verb}}
beck,{{en-verb}}
bedim,{{en-verb|bedims|bedimming|bedimmed}}
befog,{{en-verb|befogg}}
berate,{{en-verb|berat}}
bide,{{en-verb|bides|biding|bode|past2=bided|bided|past_ptc2=bidden}}
bilk,{{en-verb}}
biopsy,{{en-verb|biopsies|biopsying|biopsied|biopsied}}
bisect,{{en-verb}}
blat,{{en-verb|blatt}}
bloop,{{en-verb}}
bobble,{{en-verb|bobbl}}
bode,{{en-verb|bod}}
bolo,{{en-verb}}
bolo,{{en-verb}}
brad,{{en-verb|brads|bradding|bradded}}
bub,{{en-verb|bubb}}
bumble,{{en-verb|bumbl}}
bumble,{{en-verb|bumbl}}
bunt,{{en-verb}}
burl,{{en-verb}}
cache,{{en-verb|cach}}
caddy,{{en-verb|caddies|caddying|caddied|caddied}}
cahoot,{{en-verb}}
cam,{{en-verb|cams|camming|cammed}}
camber,{{en-verb|cambers|cambering|cambered}}
careen,{{en-verb}}
carl,{{en-verb}}
ceil,{{en-verb}}
